,article_content,fake_or_satire
0,"Writer, Louri Michaelevitch, a former personnal assistant of the Russian President, was found dead last monday in his swiss appartment after some of the neighbors complained about the smell emanating from the residence.

According to the city’s police departmnent, many clues collected on the site suggest that he might have been the victim of an elaborate murder plot.

“The police forces have only been able to proceed to preliminary analysis before we spotted a source of radiations on the scene and had to call a decontamination team” explains Sven Munger of the Zurich Police Department.”We can confirm that the radioactive agent is a very rare russian product named TCDD Dioxin. The clues we have collected are insufficient to pronounce a definitive conclusion, but the complexity of the of plot we have exposed greatly reduces the number of suspects.”

Loading...

The victim had attracted a lot of attention from the Russian government and media in 2011 when he had written a book entitled “Я был любовник Путина” (“I was Putin’s Lover“), which was taken off the shelves before the official release, after a presidential decree. A warrant demanding the arrest of the author was also issued across Russia, leading him to file a demand of political asylum from the helvetic state.

Many sources also claim that Mr Michaelevitch had dinner with an attaché of the Russian embassy five days before his body was found, a case strangely similar to that of the former Ukrainian President Viktor Yushchenko in 1999.",Fake
1,"Johnston Wilson McGill, 34, was pronounced dead on his couch by a private doctor after suffering an apparent heart attack. It has happened just days after being summoned to appear before Trey Gowdy’s congressional committee to testify about Hillary Clinton’s email server. McGill was one of Clinton's aides. The death was reported hapanned at her home of “natural causes.”

A spokesman for Clinton’s former campaign said that Huma Abedin, Clinton’s deputy campaign coordinator, found McGill when she stopped by for coffee to discuss Clinton’s plans for a run for Mayor of New York.

Trey Gowdy’s office had no official statement but his top aide, Mandy Gonsales, said that the committee isn’t happy with the circumstances of McGill’s death or the fact that his own doctor was summoned to pronounce. Abedin says she called the private doctor because she hoped he could save her friend.

There will be no autopsy on the body, which will be cremated before sunset in accordance with his religion. McGill is the single son of deceased parents and has no family. No services are planned.

Does this whole thing seem a little bit odd to anyone else? It feels oddly like we’ve seen things like this happen before to people who could possibly incriminate Hillary Clinton. Unfortunately, as the doctor who pronounced has an impeccable record and is an authorized coroner in new York, the findings will be accepted and entered into public record.",Fake
2,For full functionality of this site it is necessary to enable JavaScript. Here are the instructions how to enable JavaScript in your web browser,Fake
3,"Roger Stone Blames Obama For The Possibility Of Trump Having Alzheimer’s Because “His Attacks On The President Caused Severe Stress”

The whispers are growing louder that President Donald Trump may be suffering some sort of mental decline and cognitive impairment – and his longtime pal Roger Stone thinks it’s a conspiracy. MSNBC’s Joe Scarborough, who has known the president for years, has been suggesting on air that Trump is suffering from mental decline and possibly even dementia. Stone, who has known the president for decades and claims to remain in close contact, told InfoWars founder Alex Jones the concerns about Trump’s mental state were part of a plot to remove him from the White House, reported Mediaite. “They are going to claim that Donald Trump has Alzheimer’s…and that is the source of his insanity,” Stone told Jones.

“Look, Alex – I’ve known Donald Trump for many years now and during that time I’ve gotten very close with him,” Stone said. “Just like you’re able to tell when your mother or father or some other family member or friend you spend a lot of time with starts to change in any way, I’m also able to tell you all of Donald’s little habits, mannerisms, quirky gestures he makes when he speaks and even predict what he’s going to say and how he’s going to behave depending on his mood. As a matter of fact, I’d even go so far as to say that the man is more like a brother to me than a friend. And like I said, when you’ve spent that much time with someone and gotten to know virtually everything about them, it’s very easy to tell if and when they start behaving oddly. You know what I mean?”

Stone continued, “I’m telling you right here and now – it’s all one huge conspiracy to get people to believe Donald is unfit for duty and get him out of the White House. It’s the only option they have left, since they couldn’t beat him the normal way. Donald Trump does not have Alzheimer’s, dementia or whatever else they’re saying he’s suffering from.” Jones asked, “But look, I hear you, I get what you’re saying and I’m on your side, but you have to admit – he’s not a young man anymore, he’s 70 years old and he’s continuously been exposed to huge amounts of stress on a daily level for decades. Are you saying that’s not even a remote possibility?” Stone replied, “Well, that’s the thing, Alex – I’m not a doctor. I’ve spoken to him recently and he was his usual self, from what I could gather.”

“That being said, in my book, he’s the same, old Donald whom I’ve known for years and years. Of course, as I mentioned – I’m not a doctor or a professional, so I don’t have any medical argumentation to support my claims. But, I will say this: in the unlikely event I’m wrong and he does have a mental impairment, it’s Barack Obama’s fault. I mean, Barack Obama has attacked Donald Trump since the moment he realized that Donald was thinking about running for president – I think even before he initiated his campaign. His attacks on Donald Trump caused immense stress on a daily level because, that’s the thing – Obama had no other arguments to dispute Donald’s campaign other than to make jokes about how he’s a bad employer and how business is all he’s ever been good at. Sure, he’s not a politician, but he’s a self-made man. In my book, that’s way better than being a so-called Democrat who cares more about illegal and Muslim immigrants than he does for his own people. So, I would certainly understand if Donald has Alzheimer’s because of Barack Obama,” Stone concluded.",Fake
4,"Bill O’Reilly: “Companies Under Trump Must Say ‘Merry Christmas’ Or Will Be Forced To “Send Employees To Religious Classes”

Of all the voices crusading against the so-called “War on Christmas,” perhaps no TV personality has lent their star power to the fight against encroaching secular influence that Fox News host Bill O’Reilly has. On Thursday, the O’Reilly Factor host called out the “companies that kind of marginalized Christmas” this year by failing to use the word in their holiday advertisements and promotions, including Best Buy, Barnes & Noble and Victoria’s Secret. “Those companies are not in the Christmas spirit,” O’Reilly complained. “And that’s bad news for them, because Donald Trump is on the case.”

The pundit argued that the companies in question will be “forced to send employees to religious classes” if they continue to avoid greeting their customers with the words “Merry Christmas.” “They’ve got a lot of nerve,” he said. “The vast majority of the people that frequent their stores are Christians, traditional Americans and people who respect and honor these sort of traditions. And when you, as a company that’s making money directly off of your customers, refuse to adopt the same values and traditions as your market, you’re done. I know it sounds cruel, but that’s just the name of the game.”

“And while we’re on the subject,” O’Reilly continued, “that’s also one of the things I have a problem with in American society as of late. We’re a nation of immigrants, bla bla bla, everybody already knows the whole story. However, the whole point of America is, we’re supposed to be always accepting new immigrants, which we’re doing, by the boatloads, but at the same time, we’re also supposed to be assimilating them into American society. After a period of time, they’re supposed to become Americans, not stay whatever they were before they came here. And that also goes for religion, as well.”

The host also added, “And before someone calls me up and accuses me of being bigoted, let me just say that I don’t think all naturalized Americans should be Christians. Everybody here is completely entitled to their own religious freedom. However, that doesn’t change the fact that the majority of the people born in this country are, in fact, Christians. And given that it’s our country, not that of our immigrant new citizens – we ought to be greeted with ‘Merry Christmas’ when we walk into the aforementioned stores to spend our hard earned money. And when our immigrant citizens greet us there as part of their jobs, they should remember that they came to work to America, not the other way around.”

“And if the aforementioned companies don’t start instructing their employees to use ‘Merry Christmas’ as an official greeting soon, they are going to be forced to send their employees off to religious training lessons and classes, where they will be trained in everything Christianity stands for. And that’s going to be the hard way to solve this problem, since the easy way is not likely to work – I can see that even now. So, either companies teach their off-the-books immigrant workers to pronounce the words ‘Merry Christmas’ when they see a white American person walking into their store, or Uncle Sam is going to do it for them. And trust me, guys – you’re not going to like what Uncle Sam has planned. I can’t tell you all the details, but I’m fairly certain it’ll include the words ‘water’ and ‘boarding’ at some point,” O’Reilly concluded.",Fake
5,"Why Purchase ?

Great brand recognition and memorability from advertising, marketing, and your web site landing pages.

This domain is likely to hold and increase its value over time. Poor domain names lose traffic and new customer conversions to better domain named companies, Microsoft Research calls this effect ""domain bias in web search."" is a category killer domain that may be commonly used around the world. Such a name offers your company a clear competitive advantage online and off.",Fake
6,"Why Purchase ?

Great brand recognition and memorability from advertising, marketing, and your web site landing pages.

This domain is likely to hold and increase its value over time. Poor domain names lose traffic and new customer conversions to better domain named companies, Microsoft Research calls this effect ""domain bias in web search."" is a category killer domain that may be commonly used around the world. Such a name offers your company a clear competitive advantage online and off.",Fake
7,"Democrats argue that the GOP fixation on voter fraud is all about denying some citizens the right to vote, meanwhile Republicans argue that the Democrats near-monolithic defense of voter fraud is all about winning extra votes. Both arguments have merit, but the Democrats are lying when they pretend that the problem simply doesn’t exist.

Every election there are countless examples of voter fraud (sometimes even mass voter fraud) that come to light, and this election has been no different. However, the latest shoe to drop on the voter fraud front could be a game changer… if the national media will pay any attention to the story.

In New Hampshire, Hillary Clinton won the vote by the slimmest of margins. Less than 3K votes separated the two candidates. The race for Senator was even closer, and some local elections were decided by just a handful of votes. These facts make what the state government just discovered all the more troubling.

State law requires that anyone moving to the state must acquire a new driver’s license within 60 days of establishing residency, but more than 5K 2016 voters have still not done that, leading authorities to believe that these were fraudulent voters who came to the state to influence the outcome of the election.

On Nov. 8, 2016, 6,540 voters used an out-of-state driver’s license as identification to vote but as of Aug. 30, 2017, only 1,014 of those individuals – 15.5 percent – had been issued a New Hampshire driver’s license, according to the data.

Of the remaining 5,526 individuals, only 3.3 percent – about 213 people – had a registered motor vehicle.

That would leave 5,313 people who used an out-of-state license to vote but never obtained a new New Hampshire license despite being required to by state law after implying that they were establishing residency or domicile in the state to vote in November.

Of the 5,313 individuals who registered to vote same-day on Election Day, 81 percent – 4,314 people – neither held a New Hampshire driver’s license nor had a registered vehicle in the state ever.

With the exception of the gubernatorial race – where Republican Chris Sununu easily bested Democrat Colin Van Ostern by more than 16,000 votes – Democrats won all the other statewide and Congressional races.

But three races were determined by less than 5,000 votes: Gov. Maggie Hassan, a Democrat, beat incumbent U.S. Sen. Kelly Ayotte by 1,017 votes – although many have suspected that last minute, illegal campaign mailers pushing votes to independent Aaron Day cost Ayotte the race. Hillary Clinton bested Donald Trump by 2,736, earning the state’s 4 Electoral College votes even though she ultimately lost the presidency. U.S. Rep. Carol Shea-Porter was sent back to Congress after she bested incumbent U.S. Rep. Frank Guinta by a few more than 4,900 votes.

In the grand scheme of things 5K fraudulent votes in a nation of 315 million people may not seem like much, but in a state where 3 of the most important races were decided by less than 5K votes, it’s monumental. Consider the failed Obamacare repeal vote; could Senator Kelly Ayotte have helped the GOP ram repeal through? Or how much help could Rep. Frank Guinta be giving the House GOP if he’d actually defeated his liberal opponent?

The state government must continue its investigation and these fraudulent voters must be brought to justice. Voter fraud is a felony and it should be investigated and prosecuted as such.",Fake
8,"In an audio recording provided to Big League Politics by a source that currently wishes to remain anonymous, journalist Seymour Hersh confirms that Seth Rich had contacted WikiLeaks with sample emails from the leak. Hersh cites an FBI document as proof for his claim.

“There are no DNC or Podesta emails that exist beyond May 21 or 22, last email from either one of those groups. What the report says is that some time in late Spring… he makes contact with WikiLeaks, that’s in his computer,” he says. “Anyway, they found what he had done is that he had submitted a series of documents — of emails, of juicy emails, from the DNC.”

Hersh explains that it was unclear how the negotiations went, but that WikiLeaks did obtain access to a password protected DropBox where Rich had put the files.

“All I know is that he offered a sample, an extensive sample, I’m sure dozens of emails, and said ‘I want money.’ Later, WikiLeaks did get the password, he had a DropBox, a protected DropBox,” he said. They got access to the DropBox.”

Hersh also states that Rich had concerns about something happening to him, and had

“The word was passed, according to the NSA report, he also shared this DropBox with a couple of friends, so that ‘if anything happens to me it’s not going to solve your problems,’” he added. “WikiLeaks got access before he was killed.”

This conversation is the second in a series provided to Big League Politics.

Seymour Hersh did not contact the family with his information.

In the first audio recording, private investigator Rod Wheeler explains what happened with the Fox News coverage of Seth Rich — and how brother Aaron Rich was actively attempting to shut down anyone looking into the WikiLeaks connection. His story in the audio contradicts reports of White House involvement with the media reports regarding Seth Rich.

Wheeler also said that brother Aaron Rich tried to block Wheeler from looking at Seth’s computer, even though there could be evidence on it. “He said no, he said I have his computer, meaning him,” Wheeler said. “I said, well can I look at it?…He said, what are you looking for? I said anything that could indicate if Seth was having problems with someone. He said no, I already checked it. Don’t worry about it.”",Fake
9,"INI World Report > Uncategorized > THE UNANSWERED MYSTERY OF THE CENTURY!!!

A GREAT SIGNIFICANT SERIOUS MYSTERY ~ A MUST READ !!!

(and the answer to the final question below is: “No! just dumbed-down!!!”)

When Obama is out of office it will be interesting to see what they put in his “Library” regarding his early years. In a country where we take notice of many facets of our public figures’ lives, doesn’t it seem odd that there’s so little we know about our current man in the White House, Barack Obama?

For example, we know that Andrew Jackson’s wife smoked a corn cob pipe and was accused of adultery. Abe Lincoln never went to school. Jack Kennedy wore a back brace. Harry Truman played the piano.

As Americans, we enjoy knowing details about our newsmakers, but none of us know one single amazing fact about the history of our two term president — Barack Hussein Obama.

We are all aware of the lack of uncontestable birth records for Obama, because the management of that document has been spectacularly successful.

There are however, several additional oddities in Obama’s history that appear to be as well managed as the birthing issue.

Another interesting thing: There are no birth certificates of his daughters that can be found?

It’s interesting that no one who ever dated him has shown up. The charisma that caused women to be drawn to him so strongly during his campaign would, in the normal course of events, lead some lady to come forward, if only to garner some attention for herself. We all know about JFK’s magnetism; that McCain was no monk; quite a few details about Palin’s courtship and even her athletic prowess; Joe Biden’s aneurisms are no secret; look at Cheney and Clinton — we all know about their heart problems. Certainly Wild Bill Clinton’s exploits before and during his White House years, were well known. That’s why it’s so odd that not one lady has stepped up and said, “He was soooo shy…” or “What a great dancer…”

It’s virtually impossible to know anything about this fellow. Who was the best man at his wedding? Start there. Then check groomsmen.

Then get the footage of his graduation ceremony. Has anyone talked to the professors? It is odd that no one is bragging that they knew him or taught him or lived with him.

When did he meet Michele, and how? Are there photos there? Every president gives to the public all their photos, etc. for their library, etc. What has he released? And who voted for him to be the most popular man in 2010? Doesn’t this make you wonder?

Ever wonder why no one ever came forward from Obama’s past saying they knew him, attended school with him, or was his friend ? Not one person has ever come forward from his past, and that certainly is very, very strange.

This should be a cause for great concern. To those who voted for him, you may have elected an unqualified, inexperienced shadow man. Have you seen a movie named “The Manchurian Candidate” ? It is a classic, and it is pertinent.

As insignificant as each of us might be, someone with whom we went to school will remember our name or face. Someone will remember we were the clown or the dork or the brain or the quiet one or the bully or something about us.

George Stephanopoulos of ABC News said the same thing during the 2008 campaign. He questions why no one has acknowledged the president was in their classroom or ate in the same cafeteria or made impromptu speeches on campus. Stephanopoulos also was a classmate of Obama at Columbia — the class of 1984. He says he never had a single class with him.

If he is such a great orator; why doesn’t anyone in Obama’s college class remember him? Why won’t he allow Columbia to release his records? The fact is that Nobody remembers Obama at Columbia University.

Looking for evidence of Obama’s past, Fox News contacted 400 Columbia University students from the period when Obama claims to have been there… but none remembered him.

Wayne Allyn Root was, like Obama, a political science major at Columbia who also graduated in 1983. In 2008, Root says of Obama, “I don’t know a single person at Columbia that knew him, and they all know me. I don’t have a classmate who ever knew Barack Obama at Columbia, ever.”

Nobody recalls him. Root adds that he was also, like Obama, Class of ’83 Political Science, and says, “You don’t get more exact or closer than that. Never met him in my life, don’t know anyone who ever met him. At class reunion, our 20th reunion five years ago, who was asked to be the speaker of the class? Me. No one ever heard of Barack! And five years ago, nobody even knew who he was. The guy who writes the class notes, who’s kind of the, as we say in New York, ‘the macha’ who knows everybody, has yet to find a person, a human who ever met him.”

And Obama consistently declines requests to talk about his years at Columbia, or to provide school records, or provide the name of any former classmates or friends while at Columbia.

Some other interesting questions: Why was Obama’s law license inactivated in 2002? It is said there is no record of him ever taking the Bar exam. and Why was Michelle’s law license inactivated by court order? We understand that was forced or required to avoid fraud charges.

It is circulating that according to the U.S. Census, there is only one Barack Obama, but there are

27 Social Security numbers and over 80 alias connected to him.

The Social Security number Obama now uses originated in Connecticut, where Obama is reported to have never lived. The number was originally registered to another man (Thomas Louis Wood) from Connecticut, who died in Hawaii while on vacation there. As we all know, Social Security Numbers are only issued once, and they are not reused. No wonder all his records are sealed !!!

Please continue sending this out. Somewhere, Someone has to know SOMETHING!?! School? Before he became an “organizer” in Chicago? SOMETHING!!! He just seemed to burst upon the Scene at the 2004 Democratic Convention. ANYONE??? ANYWHERE??? ANYTHING???

Surely in the near future, when he no longer has the power of the presidency, much will come to light about this highly unqualified person who has been president of the United States for 8 years. Soon, we will know how badly we were all doped and duped by this imposter who has, with much help from “those who created him,” nearly brought the greatest nation in history to its knees in ruins. And that will be his legacy — the man who destroyed the Integrity, Morals and Christian Heritage of our once great country.

Who in the hell is this man? Is America stupid or what?",Fake
